ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
200017,Bihar,Gaya,Locality_193,Apartment,4,2605,359.27,0.14,2021,Semi-furnished,24,12,4,1,6,High,No,Yes,"Clubhouse, Playground, Gym",South,Broker,Under_Construction
200018,Telangana,Warangal,Locality_127,Apartment,3,1695,97.1,0.06,1992,Furnished,29,24,33,1,6,Low,No,Yes,"Pool, Clubhouse, Garden",South,Builder,Ready_to_Move
200019,Uttarakhand,Dehradun,Locality_27,Villa,5,2765,148.87,0.05,2015,Unfurnished,12,30,10,10,4,Medium,Yes,No,"Clubhouse, Gym, Garden, Playground",West,Builder,Under_Construction
200020,Assam,Silchar,Locality_16,Independent House,4,1259,94.45,0.08,2003,Unfurnished,1,18,22,8,9,Low,No,Yes,"Pool, Playground",West,Broker,Ready_to_Move
200021,Odisha,Bhubaneswar,Locality_256,Independent House,2,2167,371.34,0.17,1994,Furnished,10,26,31,10,2,Low,No,Yes,Playground,South,Builder,Under_Construction
200022,Haryana,Faridabad,Locality_41,Villa,3,2008,40.87,0.02,2011,Unfurnished,1,27,14,10,6,Low,No,Yes,"Clubhouse, Playground",East,Builder,Ready_to_Move
200023,Maharashtra,Nagpur,Locality_212,Independent House,1,3948,40.97,0.01,1997,Unfurnished,27,30,28,3,6,Low,Yes,Yes,"Playground, Gym, Clubhouse, Pool, Garden",East,Builder,Under_Construction
200024,Maharashtra,Mumbai,Locality_305,Independent House,4,1668,329.09,0.2,2023,Furnished,28,7,2,6,2,High,No,Yes,Playground,South,Owner,Under_Construction
200025,Odisha,Cuttack,Locality_161,Independent House,1,876,401.64,0.46,1992,Unfurnished,28,23,33,5,2,High,No,Yes,"Clubhouse, Pool, Gym, Garden, Playground",South,Owner,Ready_to_Move
200026,Maharashtra,Mumbai,Locality_14,Apartment,5,1478,200.22,0.14,2020,Furnished,20,19,5,9,9,High,No,No,"Clubhouse, Gym, Pool, Playground, Garden",South,Owner,Under_Construction
200027,Rajasthan,Jodhpur,Locality_163,Villa,5,965,31.21,0.03,2012,Unfurnished,26,21,13,5,7,High,No,No,"Playground, Gym",North,Owner,Under_Construction
200028,West Bengal,Durgapur,Locality_388,Apartment,5,2828,252.55,0.09,2014,Furnished,25,20,11,5,2,Low,No,No,Gym,West,Owner,Under_Construction
200029,Chhattisgarh,Bilaspur,Locality_313,Independent House,4,2886,445.51,0.15,2013,Semi-furnished,30,3,12,3,2,Low,Yes,Yes,Garden,East,Broker,Ready_to_Move
200030,Punjab,Ludhiana,Locality_391,Villa,4,1674,188.65,0.11,2012,Unfurnished,10,16,13,5,7,Low,Yes,No,Clubhouse,North,Broker,Under_Construction
200031,Rajasthan,Jaipur,Locality_134,Independent House,4,1825,121.47,0.07,2007,Semi-furnished,26,25,18,5,10,Low,Yes,No,"Clubhouse, Gym, Garden, Pool",East,Owner,Under_Construction
200032,Delhi,Dwarka,Locality_158,Independent House,2,2461,431.98,0.18,2002,Unfurnished,14,23,23,7,1,High,No,Yes,"Pool, Gym, Garden",South,Owner,Under_Construction
200033,Uttarakhand,Haridwar,Locality_359,Villa,1,1461,319.63,0.22,2006,Furnished,28,26,19,8,2,High,No,Yes,"Clubhouse, Pool",East,Broker,Under_Construction
200034,Gujarat,Surat,Locality_495,Apartment,2,2569,163.58,0.06,1992,Unfurnished,7,24,33,8,9,Medium,No,Yes,"Gym, Garden, Pool, Clubhouse",South,Owner,Ready_to_Move
200035,Maharashtra,Pune,Locality_385,Apartment,2,3485,281.5,0.08,1999,Semi-furnished,23,13,26,5,8,High,Yes,Yes,"Pool, Gym, Garden, Playground",West,Broker,Under_Construction
200036,Chhattisgarh,Bilaspur,Locality_37,Independent House,5,3429,283.75,0.08,1990,Unfurnished,6,24,35,7,9,Low,No,Yes,"Gym, Clubhouse",North,Owner,Ready_to_Move
200037,Rajasthan,Jodhpur,Locality_68,Villa,1,3336,83.66,0.03,1995,Unfurnished,17,25,30,3,8,Medium,Yes,Yes,"Pool, Playground, Clubhouse, Gym, Garden",South,Builder,Ready_to_Move
200038,Telangana,Warangal,Locality_433,Villa,5,663,424.7,0.64,2015,Furnished,24,27,10,2,10,Medium,No,Yes,Clubhouse,South,Builder,Ready_to_Move
200039,Madhya Pradesh,Indore,Locality_140,Apartment,3,4543,107.89,0.02,2013,Furnished,19,14,12,8,2,Medium,No,No,"Playground, Garden, Gym, Pool, Clubhouse",South,Builder,Under_Construction
200040,Rajasthan,Jodhpur,Locality_176,Apartment,5,3215,436.68,0.14,2005,Furnished,14,7,20,2,2,High,No,No,"Playground, Garden, Clubhouse, Pool",West,Owner,Ready_to_Move
200041,Andhra Pradesh,Vijayawada,Locality_354,Independent House,4,1568,267.34,0.17,2010,Furnished,27,22,15,7,6,Medium,No,No,"Garden, Clubhouse",North,Builder,Under_Construction
200042,West Bengal,Durgapur,Locality_116,Independent House,3,2963,322.89,0.11,1997,Semi-furnished,28,7,28,6,8,High,Yes,Yes,Playground,East,Owner,Ready_to_Move
200043,Delhi,New Delhi,Locality_112,Apartment,4,958,242.59,0.25,1990,Semi-furnished,18,26,35,3,4,High,Yes,Yes,"Gym, Playground, Garden",North,Builder,Ready_to_Move
200044,Uttarakhand,Dehradun,Locality_113,Villa,5,1041,31.37,0.03,2003,Furnished,27,5,22,7,4,Medium,No,No,Playground,North,Broker,Under_Construction
200045,Uttarakhand,Dehradun,Locality_132,Apartment,2,812,18.61,0.02,2020,Unfurnished,12,4,5,8,7,Low,No,Yes,"Gym, Clubhouse",West,Owner,Under_Construction
200046,Assam,Silchar,Locality_252,Apartment,3,3356,253.58,0.08,1993,Unfurnished,27,9,32,2,6,Low,No,No,"Garden, Pool",West,Owner,Under_Construction
200047,Assam,Guwahati,Locality_82,Apartment,1,1350,239.87,0.18,1995,Semi-furnished,7,28,30,1,4,Medium,Yes,Yes,Gym,South,Builder,Under_Construction
200048,Maharashtra,Pune,Locality_127,Independent House,3,4602,447.58,0.1,1993,Semi-furnished,18,1,32,6,7,Medium,Yes,No,"Playground, Pool",West,Builder,Ready_to_Move
200049,Uttarakhand,Dehradun,Locality_315,Independent House,2,1530,390.43,0.26,2009,Furnished,29,24,16,7,6,Low,No,Yes,"Garden, Clubhouse",North,Builder,Ready_to_Move
200050,Uttarakhand,Haridwar,Locality_493,Independent House,1,687,424.23,0.62,1994,Semi-furnished,9,1,31,1,7,High,No,Yes,"Garden, Clubhouse",East,Owner,Under_Construction
200051,Punjab,Ludhiana,Locality_136,Independent House,1,4725,287.63,0.06,2012,Unfurnished,15,21,13,7,4,High,No,No,"Playground, Clubhouse, Garden",West,Broker,Ready_to_Move
200052,Uttar Pradesh,Noida,Locality_418,Villa,5,3819,209.07,0.05,2007,Unfurnished,28,13,18,8,6,Medium,Yes,No,"Playground, Pool, Gym, Clubhouse, Garden",North,Builder,Under_Construction
200053,Telangana,Warangal,Locality_243,Villa,4,2367,115.34,0.05,2012,Semi-furnished,3,11,13,2,10,High,Yes,No,"Gym, Clubhouse",West,Broker,Ready_to_Move
200054,Chhattisgarh,Bilaspur,Locality_398,Independent House,5,2508,466.17,0.19,2018,Unfurnished,0,3,7,4,7,Low,No,No,Clubhouse,South,Builder,Ready_to_Move
200055,Maharashtra,Pune,Locality_167,Apartment,3,2276,232.86,0.1,2023,Semi-furnished,20,4,2,9,1,Low,Yes,Yes,"Clubhouse, Garden, Gym",East,Builder,Under_Construction
200056,West Bengal,Kolkata,Locality_452,Independent House,4,1027,67.28,0.07,2009,Semi-furnished,7,16,16,1,4,Low,Yes,No,Clubhouse,North,Builder,Under_Construction
200057,Jharkhand,Ranchi,Locality_153,Apartment,3,723,177.74,0.25,2017,Semi-furnished,9,29,8,9,5,Medium,No,No,Gym,South,Owner,Ready_to_Move
200058,Karnataka,Mangalore,Locality_183,Villa,2,3589,110.06,0.03,2005,Furnished,9,9,20,7,3,High,No,Yes,Playground,West,Builder,Under_Construction
200059,Chhattisgarh,Raipur,Locality_293,Apartment,2,4542,215.82,0.05,2022,Furnished,7,15,3,10,8,Low,Yes,Yes,Clubhouse,West,Builder,Under_Construction
200060,Karnataka,Mangalore,Locality_401,Villa,5,3336,263.1,0.08,2010,Furnished,28,13,15,3,1,Low,No,Yes,"Garden, Clubhouse, Gym, Pool, Playground",East,Builder,Ready_to_Move
200061,Haryana,Faridabad,Locality_491,Independent House,3,2402,360.74,0.15,1995,Semi-furnished,1,29,30,7,1,Low,Yes,No,Playground,East,Broker,Ready_to_Move
200062,Karnataka,Mysore,Locality_332,Independent House,2,4516,168.02,0.04,1997,Unfurnished,27,19,28,6,5,High,No,Yes,"Playground, Clubhouse",North,Builder,Under_Construction
200063,Jharkhand,Ranchi,Locality_75,Apartment,4,581,339.76,0.58,2008,Semi-furnished,15,6,17,4,2,High,No,Yes,"Gym, Playground, Garden, Clubhouse",North,Broker,Ready_to_Move
200064,Tamil Nadu,Coimbatore,Locality_279,Villa,3,1420,143.67,0.1,2012,Semi-furnished,24,15,13,2,1,High,No,Yes,"Playground, Pool, Garden, Clubhouse",East,Owner,Under_Construction
200065,Assam,Silchar,Locality_394,Apartment,5,990,345.27,0.35,2004,Furnished,21,15,21,6,3,Low,No,Yes,Garden,North,Broker,Ready_to_Move
200066,Assam,Silchar,Locality_17,Apartment,4,1395,63.05,0.05,1995,Furnished,0,16,30,7,4,Low,No,Yes,"Pool, Gym, Garden, Clubhouse, Playground",East,Owner,Ready_to_Move
200067,Bihar,Gaya,Locality_202,Apartment,4,1052,426.24,0.41,2000,Semi-furnished,7,16,25,9,9,High,No,No,"Garden, Clubhouse, Gym",East,Owner,Under_Construction
200068,Telangana,Hyderabad,Locality_381,Independent House,5,2438,363.16,0.15,2016,Semi-furnished,24,12,9,9,10,High,Yes,No,"Gym, Clubhouse",South,Broker,Under_Construction
200069,Karnataka,Bangalore,Locality_221,Apartment,3,805,335.99,0.42,1992,Unfurnished,4,30,33,10,5,Medium,No,No,"Garden, Pool, Playground, Gym",East,Broker,Ready_to_Move
200070,Chhattisgarh,Bilaspur,Locality_103,Villa,1,3911,376.81,0.1,1998,Furnished,13,24,27,6,3,High,No,No,"Gym, Playground",South,Builder,Ready_to_Move
200071,Uttarakhand,Dehradun,Locality_294,Apartment,4,2786,147.2,0.05,2016,Furnished,11,15,9,8,5,High,No,Yes,"Playground, Garden",South,Builder,Ready_to_Move
200072,Bihar,Gaya,Locality_91,Apartment,2,4224,281.37,0.07,1997,Furnished,22,2,28,2,3,High,No,Yes,"Clubhouse, Pool, Playground",West,Owner,Under_Construction
200073,Kerala,Trivandrum,Locality_395,Villa,3,1038,96.47,0.09,2008,Furnished,5,29,17,3,2,High,No,Yes,"Clubhouse, Pool, Garden, Gym, Playground",East,Broker,Under_Construction
200074,Rajasthan,Jodhpur,Locality_289,Villa,3,1999,40.2,0.02,2010,Semi-furnished,16,4,15,1,3,High,No,Yes,"Clubhouse, Pool",West,Broker,Ready_to_Move
200075,Chhattisgarh,Bilaspur,Locality_487,Independent House,5,2013,384.58,0.19,2014,Furnished,9,25,11,6,5,Medium,No,No,"Garden, Gym, Playground",North,Builder,Under_Construction
200076,Karnataka,Bangalore,Locality_299,Apartment,5,4825,148.64,0.03,2020,Furnished,5,28,5,8,7,Medium,Yes,Yes,Playground,West,Builder,Ready_to_Move
200077,Tamil Nadu,Chennai,Locality_323,Independent House,1,1985,68.7,0.03,1990,Unfurnished,11,7,35,2,1,Medium,No,No,"Pool, Playground",South,Owner,Ready_to_Move
200078,Assam,Guwahati,Locality_360,Independent House,5,4494,151.11,0.03,2021,Unfurnished,3,5,4,6,4,Low,No,Yes,"Pool, Gym, Clubhouse, Playground",South,Owner,Under_Construction
200079,Uttarakhand,Dehradun,Locality_21,Villa,5,3141,302.64,0.1,2022,Unfurnished,8,19,3,8,3,Medium,No,No,"Clubhouse, Garden",South,Builder,Ready_to_Move
200080,Karnataka,Bangalore,Locality_105,Independent House,4,2858,165.87,0.06,2021,Furnished,23,28,4,2,3,Low,No,No,"Clubhouse, Pool, Playground, Garden",South,Builder,Ready_to_Move
200081,Delhi,New Delhi,Locality_41,Independent House,2,804,330.21,0.41,2005,Furnished,4,15,20,1,10,Medium,No,No,"Clubhouse, Gym, Pool",South,Builder,Ready_to_Move
200082,Punjab,Ludhiana,Locality_498,Independent House,4,597,119.53,0.2,2012,Semi-furnished,27,29,13,4,9,Low,No,Yes,Gym,East,Builder,Under_Construction
200083,Kerala,Trivandrum,Locality_376,Villa,5,2206,131.78,0.06,2006,Semi-furnished,26,29,19,10,9,Low,No,Yes,"Gym, Playground, Pool, Clubhouse",West,Builder,Under_Construction
200084,Delhi,Dwarka,Locality_60,Independent House,1,830,152.46,0.18,1997,Furnished,10,2,28,10,7,Medium,Yes,Yes,"Playground, Pool, Gym",East,Builder,Ready_to_Move
200085,Andhra Pradesh,Vishakhapatnam,Locality_335,Villa,5,1880,83.36,0.04,2019,Furnished,5,27,6,8,8,High,No,No,"Playground, Pool, Gym",North,Broker,Under_Construction
200086,Telangana,Warangal,Locality_461,Independent House,3,4647,223.83,0.05,2022,Semi-furnished,17,29,3,6,1,Low,Yes,No,"Playground, Pool, Clubhouse, Garden, Gym",South,Broker,Under_Construction
200087,Uttar Pradesh,Noida,Locality_401,Villa,1,2426,271.44,0.11,2019,Furnished,22,15,6,9,2,Medium,No,No,"Garden, Playground, Clubhouse, Pool, Gym",North,Builder,Ready_to_Move
200088,Haryana,Gurgaon,Locality_363,Apartment,4,4674,443.45,0.09,2011,Unfurnished,13,18,14,4,10,High,No,No,Garden,South,Broker,Under_Construction
200089,Haryana,Gurgaon,Locality_130,Apartment,2,4424,284.41,0.06,2006,Semi-furnished,3,1,19,10,9,High,No,Yes,"Pool, Gym, Clubhouse",North,Broker,Ready_to_Move
200090,Madhya Pradesh,Indore,Locality_160,Independent House,3,4653,117.19,0.03,2016,Furnished,27,1,9,10,8,High,No,Yes,Clubhouse,West,Builder,Under_Construction
200091,Assam,Guwahati,Locality_216,Villa,2,3406,227.27,0.07,2009,Furnished,27,10,16,3,10,High,Yes,No,"Garden, Clubhouse, Pool, Playground",East,Broker,Under_Construction
200092,Haryana,Faridabad,Locality_46,Villa,3,2960,359.96,0.12,2011,Furnished,9,8,14,9,4,High,No,Yes,"Clubhouse, Pool, Garden, Playground",North,Owner,Under_Construction
200093,Odisha,Cuttack,Locality_38,Villa,3,1530,79.58,0.05,2022,Furnished,20,19,3,2,4,High,No,No,"Garden, Pool, Playground, Gym",North,Broker,Ready_to_Move
200094,Maharashtra,Nagpur,Locality_424,Apartment,5,1514,268.66,0.18,2010,Furnished,5,14,15,6,10,Low,No,Yes,"Playground, Pool",West,Builder,Ready_to_Move
200095,Telangana,Hyderabad,Locality_492,Independent House,4,1182,268.69,0.23,2015,Unfurnished,26,17,10,7,5,High,Yes,Yes,"Gym, Clubhouse, Garden",West,Owner,Ready_to_Move
200096,Rajasthan,Jodhpur,Locality_34,Apartment,3,1633,110.59,0.07,2022,Unfurnished,18,10,3,5,5,Medium,Yes,No,"Playground, Gym, Pool",South,Builder,Under_Construction
200097,Tamil Nadu,Coimbatore,Locality_424,Apartment,3,950,315.13,0.33,2022,Unfurnished,28,7,3,5,5,High,Yes,No,Clubhouse,North,Builder,Ready_to_Move
200098,Uttarakhand,Dehradun,Locality_292,Independent House,2,2588,41.24,0.02,2017,Semi-furnished,16,3,8,3,1,High,Yes,No,Clubhouse,North,Owner,Ready_to_Move
200099,Uttarakhand,Haridwar,Locality_273,Apartment,1,1122,330.59,0.29,2005,Unfurnished,1,27,20,2,2,Low,Yes,Yes,"Garden, Playground, Pool, Clubhouse, Gym",East,Builder,Ready_to_Move
200100,West Bengal,Kolkata,Locality_284,Independent House,5,1743,348.81,0.2,1999,Furnished,11,10,26,4,9,Low,Yes,Yes,"Garden, Pool, Gym",East,Owner,Ready_to_Move
200101,Kerala,Kochi,Locality_318,Independent House,2,1257,155.45,0.12,1991,Furnished,9,22,34,2,8,High,No,Yes,Clubhouse,East,Owner,Ready_to_Move
200102,West Bengal,Kolkata,Locality_141,Villa,4,2934,355.83,0.12,1993,Semi-furnished,20,26,32,1,9,Low,Yes,Yes,"Garden, Pool, Clubhouse",North,Broker,Under_Construction
200103,Uttar Pradesh,Lucknow,Locality_460,Villa,3,4640,373.62,0.08,2012,Semi-furnished,14,8,13,2,6,High,No,No,"Garden, Gym",West,Broker,Under_Construction
200104,Chhattisgarh,Raipur,Locality_180,Apartment,1,3835,385.98,0.1,2015,Semi-furnished,20,21,10,3,7,Low,No,No,"Garden, Clubhouse, Pool",East,Broker,Under_Construction
200105,Haryana,Faridabad,Locality_406,Apartment,4,2528,288.67,0.11,2017,Semi-furnished,1,8,8,5,7,Low,Yes,Yes,Pool,West,Broker,Under_Construction
200106,Tamil Nadu,Chennai,Locality_493,Villa,3,1445,170.72,0.12,2021,Unfurnished,4,21,4,4,2,High,Yes,No,"Playground, Garden, Gym",South,Broker,Ready_to_Move
200107,Haryana,Gurgaon,Locality_133,Independent House,1,2860,157.43,0.06,2001,Furnished,8,15,24,1,2,Medium,No,Yes,"Playground, Gym, Garden, Pool",South,Owner,Ready_to_Move
200108,Uttar Pradesh,Lucknow,Locality_489,Villa,4,1065,180.32,0.17,1996,Furnished,0,20,29,2,5,Low,Yes,No,"Pool, Clubhouse, Playground, Garden",East,Broker,Under_Construction
200109,Odisha,Bhubaneswar,Locality_172,Independent House,3,4404,118.86,0.03,1999,Furnished,15,8,26,4,9,High,No,No,"Gym, Clubhouse, Pool, Garden, Playground",West,Owner,Ready_to_Move
200110,Rajasthan,Jaipur,Locality_178,Independent House,1,1704,153.24,0.09,2000,Unfurnished,8,23,25,1,4,Low,No,Yes,"Pool, Garden, Clubhouse",South,Owner,Under_Construction
200111,Punjab,Amritsar,Locality_228,Independent House,5,2523,120.9,0.05,2013,Unfurnished,25,22,12,3,10,Low,No,Yes,Playground,North,Broker,Ready_to_Move
200112,Andhra Pradesh,Vishakhapatnam,Locality_269,Villa,3,941,343.91,0.37,2004,Furnished,23,22,21,2,7,High,No,Yes,"Garden, Playground",North,Builder,Ready_to_Move
200113,Chhattisgarh,Raipur,Locality_166,Independent House,3,924,225.64,0.24,2004,Furnished,5,10,21,8,5,Low,No,No,"Playground, Clubhouse, Pool, Gym",East,Owner,Ready_to_Move
200114,Rajasthan,Jodhpur,Locality_215,Apartment,1,3603,366.66,0.1,2023,Unfurnished,6,9,2,10,1,Medium,Yes,No,"Clubhouse, Playground, Gym",South,Builder,Under_Construction
200115,Chhattisgarh,Bilaspur,Locality_231,Apartment,3,3023,452.2,0.15,2022,Furnished,0,30,3,8,4,High,No,No,Playground,West,Broker,Ready_to_Move
200116,Delhi,New Delhi,Locality_351,Villa,2,3984,305.81,0.08,1998,Unfurnished,3,27,27,2,1,Medium,Yes,Yes,Clubhouse,East,Owner,Under_Construction
200117,Karnataka,Bangalore,Locality_419,Apartment,3,4009,46.97,0.01,1993,Semi-furnished,18,27,32,4,2,Low,Yes,Yes,"Gym, Garden",West,Owner,Under_Construction
200118,West Bengal,Durgapur,Locality_82,Independent House,5,2216,423.87,0.19,2000,Furnished,7,21,25,3,8,Low,No,No,"Playground, Pool, Gym",East,Owner,Under_Construction
200119,Jharkhand,Ranchi,Locality_428,Apartment,1,4025,145.45,0.04,2021,Semi-furnished,12,26,4,9,6,Low,No,Yes,"Playground, Garden, Pool, Clubhouse",East,Owner,Under_Construction
200120,Uttar Pradesh,Lucknow,Locality_317,Villa,2,691,74.01,0.11,1999,Unfurnished,17,25,26,6,7,High,No,Yes,Pool,West,Builder,Ready_to_Move
200121,Uttarakhand,Dehradun,Locality_419,Apartment,4,4560,186.56,0.04,2009,Unfurnished,4,13,16,1,8,High,No,No,"Clubhouse, Pool",West,Broker,Ready_to_Move
200122,Karnataka,Mysore,Locality_99,Apartment,4,2671,197.38,0.07,1991,Unfurnished,20,29,34,10,5,High,No,Yes,"Gym, Garden, Pool, Playground, Clubhouse",North,Broker,Under_Construction
200123,Telangana,Warangal,Locality_400,Apartment,5,4188,53.84,0.01,2004,Semi-furnished,3,16,21,4,3,Medium,Yes,No,"Playground, Clubhouse",South,Broker,Ready_to_Move
200124,Bihar,Patna,Locality_230,Independent House,1,4570,384.24,0.08,1992,Furnished,23,21,33,10,8,High,No,Yes,"Garden, Playground",North,Broker,Under_Construction
200125,Uttarakhand,Haridwar,Locality_329,Apartment,5,3403,173.63,0.05,2013,Unfurnished,20,27,12,6,4,Medium,Yes,Yes,Playground,South,Broker,Under_Construction
200126,Punjab,Amritsar,Locality_350,Villa,2,1951,112.85,0.06,1994,Unfurnished,3,11,31,7,6,High,No,Yes,"Playground, Clubhouse",West,Owner,Ready_to_Move
200127,Uttar Pradesh,Noida,Locality_158,Independent House,5,3726,342.61,0.09,1995,Unfurnished,15,4,30,8,9,Medium,No,No,"Playground, Gym",North,Builder,Under_Construction
200128,Uttarakhand,Dehradun,Locality_397,Apartment,5,984,201.07,0.2,2022,Semi-furnished,4,3,3,4,6,Low,Yes,Yes,"Garden, Playground, Pool",East,Builder,Under_Construction
200129,Gujarat,Ahmedabad,Locality_83,Villa,1,1064,239.77,0.23,2004,Unfurnished,10,12,21,7,5,High,Yes,No,"Clubhouse, Garden, Pool, Gym",South,Builder,Under_Construction
200130,Assam,Silchar,Locality_126,Independent House,4,3662,355.29,0.1,1997,Furnished,23,1,28,4,4,Medium,No,Yes,"Pool, Clubhouse, Playground, Garden, Gym",South,Builder,Under_Construction
200131,Punjab,Amritsar,Locality_449,Villa,2,1779,465.63,0.26,1995,Unfurnished,12,5,30,5,10,High,Yes,Yes,"Playground, Garden",East,Builder,Under_Construction
200132,Uttarakhand,Dehradun,Locality_167,Independent House,4,2965,495.33,0.17,2006,Semi-furnished,3,22,19,4,10,Low,Yes,No,"Clubhouse, Pool, Playground, Gym, Garden",West,Builder,Under_Construction
200133,Tamil Nadu,Coimbatore,Locality_115,Apartment,1,3530,413.16,0.12,2003,Unfurnished,25,6,22,7,3,High,No,No,"Clubhouse, Gym, Pool",West,Owner,Ready_to_Move
200134,Odisha,Bhubaneswar,Locality_440,Apartment,1,4339,285.7,0.07,2009,Unfurnished,4,5,16,9,5,High,Yes,Yes,"Garden, Gym, Clubhouse, Playground, Pool",North,Broker,Under_Construction
200135,Maharashtra,Pune,Locality_341,Villa,1,1380,197.25,0.14,2022,Unfurnished,17,27,3,8,8,Low,Yes,Yes,Gym,North,Broker,Ready_to_Move
200136,West Bengal,Durgapur,Locality_176,Villa,4,2211,420.18,0.19,1997,Unfurnished,9,14,28,7,6,Low,Yes,Yes,Gym,East,Builder,Under_Construction
200137,Haryana,Faridabad,Locality_426,Independent House,5,4437,127.31,0.03,2012,Unfurnished,0,24,13,5,10,High,Yes,Yes,"Playground, Pool, Garden, Clubhouse",South,Broker,Ready_to_Move
200138,Punjab,Ludhiana,Locality_229,Villa,3,2702,21.89,0.01,2010,Unfurnished,3,27,15,10,1,Medium,Yes,Yes,"Clubhouse, Playground, Garden",East,Broker,Under_Construction
200139,Tamil Nadu,Chennai,Locality_38,Apartment,1,4310,391.41,0.09,2015,Unfurnished,26,22,10,1,1,Medium,No,No,Gym,West,Broker,Ready_to_Move
200140,West Bengal,Kolkata,Locality_207,Villa,5,4048,230.33,0.06,2009,Semi-furnished,2,15,16,9,4,Low,Yes,Yes,"Pool, Clubhouse, Playground, Gym",West,Broker,Ready_to_Move
200141,West Bengal,Kolkata,Locality_396,Independent House,2,1113,476.73,0.43,2016,Unfurnished,0,28,9,6,8,High,No,Yes,Garden,North,Builder,Ready_to_Move
200142,Maharashtra,Nagpur,Locality_335,Independent House,3,2345,377.17,0.16,1996,Unfurnished,0,6,29,2,8,Medium,No,Yes,"Garden, Gym, Pool",East,Broker,Under_Construction
200143,Haryana,Gurgaon,Locality_70,Independent House,5,893,460.52,0.52,1990,Furnished,7,22,35,7,9,Low,No,Yes,Gym,North,Owner,Ready_to_Move
200144,Haryana,Faridabad,Locality_490,Independent House,5,3559,77.77,0.02,1999,Semi-furnished,4,3,26,6,7,High,No,Yes,Playground,West,Broker,Under_Construction
